id,title,duration,view_count,comment_count,like_count,upload_date,duration_string,aspect_ratio
zRtGL0-5rg4,"Last To Leave Grocery Store, Wins $250,000",2577,150070933,166000.0,3133599.0,20260418,42:57,1.78
bTrV5v7GLcQ,"Last To Leave Pool Of $20,000 Keeps It",998,188308132,81000.0,3362048.0,20190824,16:38,1.78
NS3hse9ezik,"Last To Leave Ramen Noodle Pool Wins $20,000",872,78780705,43000.0,1605098.0,20190913,14:32,1.78
6wsFjjhZPJI,"Last To Leave Revolving Door Wins $50,000",824,171446180,179000.0,3709546.0,20190702,13:44,1.78
gL6iSCSHjco,"Last To Leave Roller Coaster Wins $20,000 - Challenge",907,168829336,66000.0,3067397.0,20190817,15:07,1.78
3ix_gbcubTo,"Last To Leave Slime Pit Wins $20,000 - Challenge",1070,152445783,73000.0,2422022.0,20181130,17:50,1.78
i2O6GMpNWGo,"Last To Leave The Tesla, Keeps It Challenge",1109,122515598,44000.0,2092113.0,20190329,18:29,1.78
zajUgQLviwk,"Last to Leave Their Circle Wins $500,000",2318,198668843,84000.0,3108628.0,20250301,38:38,1.78
NbaWrbJDr48,"Last To Leave Toilet Wins $1,000,000 (Part 3)",946,105156414,48000.0,1963840.0,20191207,15:46,1.78
RCvnytndd9c,"Last To Leave VR Wins $20,000",857,170489578,93000.0,3293940.0,20190608,14:17,1.78
xRwy_rKc7gI,"Last To Leave World's Largest Bowl Of Cereal Wins $10,000",942,268809355,87000.0,3528427.0,20190515,15:42,1.78
nywT2SenPIo,"Last To Remove Hand, Gets Lamborghini Challenge",1185,97855515,73000.0,1719646.0,20181102,19:45,1.78
wMuYiLby3-s,"Last To Stop Riding Bike Wins $1,000,000 (Part 4)",705,68981814,91000.0,1505466.0,20191214,11:45,1.78
AA-VpIj8F5Y,"Last To Stop Running Wins $20,000",897,124727208,65000.0,2391918.0,20190606,14:57,1.78
RwnN2FVaHmw,"Last to Stop Swinging Wins $1,000,000 (Part 2)",783,148517905,80000.0,2384937.0,20191130,13:03,1.78
